id,Title,ReleaseDate,Rating,NumberofReviews,Plays,year,game_type,score
1214,FIFA 23,"Sep 29, 2022",2.6,2209.0,273529.0,2022,new,Good
1215,Battlefield: Bad Company 2,"Mar 02, 2010",3.6,82944.0,17.64,2010,new,Great
1216,The Walking Dead: A New Frontier,"Dec 20, 2016",2.8,119025.0,8.41,2016,new,Good
1217,Ninja Gaiden Black,"Sep 20, 2005",4.3,86436.0,984064.0,2005,new,Amazing
1218,Sid Meier's Civilization V,"Sep 21, 2010",3.9,102400.0,29.16,2010,new,Great
1219,World of Horror,"Feb 20, 2020",3.7,66049.0,758641.0,2020,new,Great
1220,Fire Emblem: Shadow Dragon,"Aug 07, 2008",3.2,130321.0,3.61,2008,new,Great
1221,Tomodachi Life,"Apr 18, 2013",3.7,78961.0,11.56,2013,new,Great
1222,Downwell,"Oct 14, 2015",3.5,131769.0,13.69,2015,new,Great
1223,SpongeBob SquarePants: Battle For Bikini Bottom,"Oct 31, 2003",3.8,106276.0,11.56,2003,new,Great
1224,LEGO Harry Potter: Years 1-4,"Jun 25, 2010",3.2,121801.0,16.81,2010,new,Great
1225,Dragon Quest V: Hand of the Heavenly Bride,"Jul 17, 2008",4.2,137641.0,1.96,2008,new,Amazing
1226,Fear & Hunger,"Dec 11, 2018",3.8,2304.0,12100.0,2018,new,Great
1227,For Honor,"Feb 13, 2017",2.8,55696.0,16.81,2017,new,Good
1228,Sonic Lost World,"Oct 18, 2013",2.5,156025.0,6.25,2013,new,Good
1229,Bug Fables: The Everlasting Sapling,"Nov 21, 2019",4.1,127449.0,1.0,2019,new,Amazing
1230,Hyrule Warriors: Age of Calamity,"Nov 19, 2020",3.5,281961.0,7.29,2020,new,Great
1231,LEGO Batman 3: Beyond Gotham,"Nov 11, 2014",3.1,139129.0,8.41,2014,new,Great
1232,Moonscars,"Sep 27, 2022",2.9,9409.0,61504.0,2022,new,Good
1233,The Witcher 3: Wild Hunt - Hearts of Stone,"Oct 12, 2015",4.4,25281.0,9.61,2015,new,Amazing
1234,Remnant: From the Ashes,"Aug 20, 2019",3.2,92416.0,4.41,2019,new,Great
1235,Halo 5: Guardians,"Oct 27, 2015",2.5,250000.0,12.25,2015,new,Good
1236,Hearthstone,"Mar 11, 2014",2.9,44944.0,30.25,2014,new,Good
1237,Ultimate Spider-Man,"Sep 21, 2005",3.6,90000.0,13.69,2005,new,Great
1238,Chop Goblins,"Dec 12, 2022",3.5,3136.0,38025.0,2022,new,Great
1239,Secret of Mana,"Aug 06, 1993",3.3,170569.0,3.61,1993,retro,Great
1240,428: Shibuya Scramble,"Dec 04, 2008",4.2,62001.0,456976.0,2008,new,Amazing
1241,Potion Craft,"Sep 21, 2021",3.2,5929.0,221841.0,2021,new,Great
1242,Mega Man Legends,"Dec 18, 1997",3.7,130321.0,1.96,1997,retro,Great
1243,Xenoblade Chronicles: Future Connected,"May 29, 2020",3.5,53824.0,3.61,2020,new,Great
1244,Crab Game,"Oct 29, 2021",2.5,9216.0,5.29,2021,new,Good
1245,NEET Girl Date Night,"Oct 21, 2022",2.7,441.0,11236.0,2022,new,Good
1246,Dante's Inferno,"Feb 04, 2010",3.2,103041.0,6.76,2010,new,Great
1247,Haunting Ground,"Apr 21, 2005",3.8,78961.0,356409.0,2005,new,Great
1248,Assassin's Creed Rogue,"Nov 11, 2014",3.2,147456.0,11.56,2014,new,Great
1249,Garten of Banban 2,"Mar 03, 2023",1.5,256.0,3025.0,2023,new,Okay
1250,Pokémon Stadium,"Apr 30, 1999",3.3,115600.0,29.16,1999,retro,Great
1251,Outlast II,"Apr 25, 2017",2.8,77841.0,7.29,2017,new,Good
1272,Ni no Kuni II: Revenant Kingdom,"Mar 23, 2018",3.3,72361.0,2.89,2018,new,Great
1273,Metal Gear,"Jul 13, 1987",2.9,118336.0,3.61,1987,retro,Good
1274,Disney's Aladdin,"Nov 21, 1993",3.4,41209.0,4.84,1993,retro,Great
1275,Fable II,"Oct 21, 2008",3.6,96100.0,10.24,2008,new,Great
1276,Celeste: Farewell,"Sep 09, 2019",4.5,3364.0,419904.0,2019,new,Amazing
1277,Axiom Verge 2,"Aug 11, 2021",3.4,13456.0,97344.0,2021,new,Great
1278,Lightning Returns: Final Fantasy XIII,"Nov 21, 2013",3.1,131044.0,2.25,2013,new,Great
1279,Yakuza 2,"Dec 07, 2006",4.0,109561.0,1.0,2006,new,Great
1280,F-Zero X,"Jul 14, 1998",3.9,125316.0,2.89,1998,retro,Great
1281,Chibi-Robo!,"Jun 23, 2005",4.1,148996.0,1.0,2005,new,Amazing
1283,RimWorld,"Oct 17, 2018",4.2,22201.0,2.56,2018,new,Amazing
1284,Professor Layton and the Miracle Mask,"Feb 26, 2011",3.7,36864.0,1.69,2011,new,Great
1285,Mega Man X5,"Nov 30, 2000",3.2,111556.0,4.84,2000,retro,Great
1286,Tokyo Necro,"Jan 29, 2016",4.6,441.0,196.0,2016,new,Amazing
1287,Disney Dreamlight Valley,"Sep 06, 2022",3.5,16900.0,108241.0,2022,new,Great
1288,Mega Man 7,"Mar 24, 1995",3.5,164025.0,5.76,1995,retro,Great
1289,Figment,"Sep 22, 2017",2.8,15376.0,33489.0,2017,new,Good
1290,"Flower, Sun, and Rain: Murder and Mystery in Paradise","Mar 06, 2008",4.2,31684.0,166464.0,2008,new,Amazing
1291,Professor Layton vs. Phoenix Wright: Ace Attorney,"Nov 29, 2012",3.6,75625.0,3.24,2012,new,Great
1292,Metal Gear Solid: The Twin Snakes,"Mar 09, 2004",3.6,71289.0,3.61,2004,new,Great
1293,The Simpsons Game,"Oct 30, 2007",3.0,40000.0,14.44,2007,new,Good
1294,Mega Man Zero 2,"May 02, 2003",3.7,100489.0,3.61,2003,new,Great
1295,Gears 5,"Sep 09, 2019",3.4,145924.0,4.41,2019,new,Great
1296,Crash of the Titans,"Oct 04, 2007",3.0,40000.0,14.44,2007,new,Good
1297,Alan Wake Remastered,"Oct 05, 2021",3.7,43681.0,476100.0,2021,new,Great
1298,Final Fantasy XV: Royal Edition,"Mar 06, 2018",3.7,50625.0,2.89,2018,new,Great
1299,The Witcher,"Oct 26, 2007",3.0,48400.0,2.56,2007,new,Good
1300,Final Fantasy III,"Aug 24, 2006",3.1,116964.0,6.76,2006,new,Great
1301,Snatcher,"Oct 23, 1992",4.0,58564.0,299209.0,1992,retro,Great
1302,Hello Charlotte Ep.3: Childhood's End,"Jan 05, 2018",4.3,18769.0,179776.0,2018,new,Amazing
1303,Star Wars: Battlefront,"Sep 20, 2004",3.5,65025.0,16.81,2004,new,Great
1304,Ikaruga,"Dec 20, 2001",4.0,132496.0,1.69,2001,new,Great
1305,Diablo IV,"Jun 06, 2023",,21904.0,361.0,2023,new,
1306,Ys: The Oath in Felghana,"Jul 04, 2005",4.0,96721.0,1.0,2005,new,Great
1307,American McGee's Alice,"Dec 06, 2000",3.4,58564.0,1.21,2000,retro,Great
1308,Call of Duty,"Oct 29, 2003",3.3,75076.0,7.84,2003,new,Great
1309,Armored Core 2,"Oct 26, 2000",3.6,8464.0,77284.0,2000,retro,Great
1310,Clash of Clans,"Aug 02, 2012",2.5,5329.0,6.76,2012,new,Good
1311,Fate/stay night,"Jan 30, 2004",4.0,66564.0,3.61,2004,new,Great
1312,Tabletop Simulator,"Jun 05, 2015",3.7,21609.0,10.24,2015,new,Great
1313,Duskers,"May 18, 2016",3.6,2601.0,3721.0,2016,new,Great
1314,Control: Ultimate Edition,"Aug 27, 2020",4.0,54289.0,1.96,2020,new,Great
1315,Advance Wars,"Sep 10, 2001",3.7,70756.0,3.61,2001,new,Great
1316,Touhou Koumakyou: The Embodiment of Scarlet Devil,"Aug 11, 2002",3.8,47089.0,3.61,2002,new,Great
1317,Weird West,"Mar 31, 2022",3.0,24336.0,164025.0,2022,new,Good
1318,Pokémon Mystery Dungeon: Blue Rescue Team,"Nov 17, 2005",3.7,74529.0,14.44,2005,new,Great
1319,WarioWare Gold,"Jul 27, 2018",3.9,69696.0,2.89,2018,new,Great
1320,Dragon Ball: Xenoverse,"Feb 05, 2015",2.9,39204.0,13.69,2015,new,Good
1321,Call of Duty: Black Ops 4,"Oct 12, 2018",2.3,61504.0,12.25,2018,new,Good
1322,Bloodborne: Game of the Year Edition,"Nov 27, 2015",4.6,56644.0,2.25,2015,new,Amazing
1323,Ape Out,"Feb 28, 2019",3.5,108241.0,3.24,2019,new,Great
1324,WarioWare: Smooth Moves,"Dec 02, 2006",3.9,101761.0,9.61,2006,new,Great
1325,Puyo Puyo Tetris,"Feb 06, 2014",3.8,54289.0,9.61,2014,new,Great
1326,Prince of Persia: Warrior Within,"Nov 30, 2004",3.5,56169.0,7.84,2004,new,Great
1327,Kentucky Route Zero: TV Edition,"Jan 27, 2020",4.1,101761.0,595984.0,2020,new,Amazing
1328,Factorio,"Aug 14, 2020",4.2,35721.0,2.56,2020,new,Amazing
1329,Scott Pilgrim vs. the World: The Game - Complete Edition,"Jan 14, 2021",3.6,52441.0,1.44,2021,new,Great
1330,Monster Hunter 4 Ultimate,"Oct 11, 2014",4.2,67600.0,4.0,2014,new,Amazing
1331,Fruit Ninja Classic,"Apr 20, 2010",2.7,2916.0,14.44,2010,new,Good
1333,Tom Clancy's The Division,"Mar 07, 2016",2.8,57121.0,8.41,2016,new,Good
1334,Crysis 2,"Mar 22, 2011",3.1,32400.0,8.41,2011,new,Great
1335,Resident Evil 4: Wii Edition,"May 31, 2007",4.4,22801.0,1.21,2007,new,Amazing
1336,Nuclear Throne,"Dec 05, 2015",3.7,68644.0,4.84,2015,new,Great
1337,Super Hexagon,"Aug 31, 2012",3.4,41616.0,5.29,2012,new,Great
1338,Condemned: Criminal Origins,"Nov 16, 2005",3.5,61504.0,1.69,2005,new,Great
1339,PlayStation All-Stars Battle Royale,"Nov 20, 2012",2.4,43264.0,6.76,2012,new,Good
1340,Dragon Quest,"Mar 01, 2004",3.1,121801.0,3.24,2004,new,Great
1341,Pac-Man in a Tin,"Mar 22, 2023",,0.0,1.0,2023,new,
1342,Mount & Blade: Warband,"Mar 31, 2010",3.9,28224.0,5.76,2010,new,Great
1343,Monster Hunter Generations Ultimate,"Mar 18, 2017",4.2,32041.0,2.25,2017,new,Amazing
1344,The Jackbox Party Pack 3,"Oct 18, 2016",3.8,23104.0,7.29,2016,new,Great
1345,Digimon World: Next Order,"Mar 17, 2016",3.1,4356.0,103041.0,2016,new,Great
1346,Odin Sphere: Leifthrasir,"Jan 14, 2016",4.1,51984.0,801025.0,2016,new,Amazing
1347,Bulletstorm,"Feb 22, 2011",3.2,25281.0,5.29,2011,new,Great
1348,The Witcher 2: Assassins of Kings,"May 17, 2011",3.6,32761.0,2.56,2011,new,Great
1349,Pokémon Añil,"Mar 23, 2023",,4.0,1.0,2023,new,
1350,Animal Crossing: City Folk,"Nov 16, 2008",3.4,53824.0,9.61,2008,new,Great
1351,Microsoft Minesweeper,"Oct 08, 1990",3.2,6889.0,5.76,1990,retro,Great
1352,Sonic 3D Blast,"Nov 14, 1996",2.3,99225.0,5.29,1996,retro,Good
1353,Mario Party 4,"Oct 21, 2002",3.5,53361.0,9.0,2002,new,Great
1354,Mario Party 3,"Dec 07, 2000",3.7,47961.0,7.84,2000,retro,Great
1355,Peggle,"Feb 27, 2007",3.6,34225.0,6.25,2007,new,Great
1356,Plague Inc: Evolved,"Sep 18, 2015",3.1,7744.0,16.0,2015,new,Great
1357,Star Wars: Episode III - Revenge of the Sith,"May 05, 2005",3.1,19881.0,4.41,2005,new,Great
1358,Prince of Persia,"Dec 02, 2008",3.0,40401.0,6.25,2008,new,Good
1359,System Shock,"Sep 22, 1994",3.9,76176.0,295936.0,1994,retro,Great
1360,Sonic Rush Adventure,"Sep 14, 2007",3.5,77284.0,3.61,2007,new,Great
1361,Destroy All Humans!,"Jun 21, 2005",3.2,25600.0,4.84,2005,new,Great
1362,Marvel vs. Capcom: Clash of Super Heroes,"Jan 12, 1998",3.7,72361.0,4.0,1998,retro,Great
1363,The World Ends with You: Final Remix,"Sep 27, 2018",4.0,64009.0,2.25,2018,new,Great
1364,Ristar,"Feb 16, 1995",3.6,54289.0,1.44,1995,retro,Great
1365,Crash Team Racing Nitro-Fueled,"Jun 21, 2019",3.9,166464.0,6.25,2019,new,Great
1366,Mega Man X6,"Nov 29, 2001",2.3,94864.0,3.61,2001,new,Good
1367,Slender: The Eight Pages,"Jun 26, 2012",2.0,15129.0,7.29,2012,new,Okay
1368,Mark of the Ninja,"Sep 07, 2012",3.8,37249.0,3.61,2012,new,Great
1369,Octodad: Dadliest Catch,"Jan 30, 2014",3.2,28561.0,6.25,2014,new,Great
1370,Dragon Ball Z: Budokai Tenkaichi,"Oct 06, 2005",2.9,9216.0,2.89,2005,new,Good
1371,The King of Fighters XV,"Feb 16, 2022",4.0,51076.0,515524.0,2022,new,Great
1372,Killing Floor 2,"Nov 18, 2016",3.1,38025.0,7.84,2016,new,Great
1373,Ape Escape 3,"Jul 14, 2005",4.3,61009.0,763876.0,2005,new,Amazing
1374,The Simpsons Arcade Game,"Mar 04, 1991",3.3,19321.0,2.25,1991,retro,Great
1375,Toy Story 2: Buzz Lightyear to the Rescue!,"Nov 22, 1999",3.4,60025.0,5.29,1999,retro,Great
1376,Rayman Raving Rabbids,"Nov 19, 2006",2.7,18769.0,7.29,2006,new,Good
1377,Prototype 2,"Apr 24, 2012",3.0,19600.0,5.76,2012,new,Good
1378,MadWorld,"Mar 10, 2009",3.5,80089.0,1.21,2009,new,Great
1379,Call of Duty 3,"Nov 07, 2006",2.8,53361.0,8.41,2006,new,Good
1380,Shadow Warrior,"Sep 26, 2013",3.2,25921.0,2.89,2013,new,Great
1381,Warcraft III: The Frozen Throne,"Jul 01, 2003",4.3,25281.0,6.76,2003,new,Amazing
1382,Yakuza 4,"Mar 08, 2010",3.8,87025.0,1.96,2010,new,Great
1383,Megami Ibunroku Persona,"Sep 20, 1996",3.7,256.0,256.0,1996,retro,Great
1384,Persona 4 Arena,"Mar 01, 2012",3.4,38025.0,3.61,2012,new,Great
1385,Scribblenauts,"Sep 15, 2009",3.2,22801.0,10.24,2009,new,Great
1386,Rock Band 2,"Sep 14, 2008",4.0,32400.0,4.0,2008,new,Great
1387,Armored Core 4,"Dec 21, 2006",3.7,8464.0,63504.0,2006,new,Great
1388,Rez Infinite,"Oct 13, 2016",4.0,49284.0,508369.0,2016,new,Great
1389,Plants vs. Zombies 2: It's About Time,"Aug 15, 2013",2.7,6400.0,5.76,2013,new,Good
1390,Cadence of Hyrule: Crypt of the NecroDancer Featuring the Legend of Zelda,"Jun 13, 2019",3.6,72361.0,3.24,2019,new,Great
1391,100% Orange Juice,"Aug 15, 2009",3.4,12544.0,3.24,2009,new,Great
1392,Tekken 6,"Nov 26, 2007",3.4,55225.0,5.29,2007,new,Great
1393,Mortal Kombat 3,"Apr 15, 1995",3.1,26244.0,2.89,1995,retro,Great
1394,Pokémon Mystery Dungeon: Explorers of Time,"Sep 13, 2007",4.0,34596.0,5.29,2007,new,Great
1395,Chulip,"Oct 03, 2002",4.1,87616.0,94864.0,2002,new,Amazing
1396,Crash Nitro Kart,"Nov 11, 2003",3.1,19881.0,2.89,2003,new,Great
1397,Bubble Bobble,"Jun 16, 1986",3.3,34969.0,1.96,1986,retro,Great
1398,Shantae: Half-Genie Hero,"Dec 20, 2016",3.4,38416.0,2.25,2016,new,Great
1399,Snake,"Dec 18, 1997",3.1,4489.0,5.76,1997,retro,Great
1400,Tales of Vesperia,"Aug 07, 2008",3.9,38416.0,1.21,2008,new,Great
1401,Mega Man X8,"Dec 07, 2004",3.3,57121.0,1.96,2004,new,Great
1402,Fire Emblem: New Mystery of the Emblem,"Jul 15, 2010",3.7,60516.0,719104.0,2010,new,Great
1403,Mario & Luigi: Superstar Saga + Bowser's Minions,"Oct 05, 2017",3.9,40401.0,1.21,2017,new,Great
1404,Suikoden,"Dec 15, 1995",3.6,72900.0,870489.0,1995,retro,Great
1405,Binary Domain,"Feb 16, 2012",3.5,54756.0,1.21,2012,new,Great
1406,Shin Megami Tensei: Devil Survivor,"Jan 15, 2009",3.9,47961.0,1.0,2009,new,Great
1407,JoJo's Bizarre Adventure: Eyes of Heaven,"Dec 17, 2015",2.8,11236.0,2.89,2015,new,Good
1408,Audiosurf,"Feb 15, 2008",3.2,6724.0,2.56,2008,new,Great
1409,Better Call Saul Kart,"Sep 30, 2022",4.2,64.0,676.0,2022,new,Amazing
1410,The Secret of Monkey Island,"Oct 01, 1990",4.1,97344.0,1.96,1990,retro,Amazing
1411,Resistance: Fall of Man,"Nov 11, 2006",3.0,37636.0,1.69,2006,new,Good
1412,Sniper Elite 4,"Feb 13, 2017",3.1,33856.0,2.25,2017,new,Great
1413,Metal Gear Solid HD Collection,"Nov 08, 2011",4.5,13924.0,2.25,2011,new,Amazing
1414,The Simpsons: Road Rage,"Nov 19, 2001",2.9,10609.0,2.89,2001,new,Good
1415,Melty Blood Actress Again Current Code,"Jul 29, 2010",4.1,58564.0,3.61,2010,new,Amazing
1416,Path of Exile,"Oct 23, 2013",3.3,16900.0,5.76,2013,new,Great
1417,Machinarium,"Oct 16, 2009",3.7,49284.0,2.56,2009,new,Great
1418,Guacamelee!,"Apr 09, 2013",3.5,36481.0,3.24,2013,new,Great
1419,Tales of Zestiria,"Jan 22, 2015",2.7,74529.0,2.89,2015,new,Good
1420,Black,"Feb 24, 2006",3.4,54289.0,4.41,2006,new,Great
1421,Mario Super Sluggers,"Jun 19, 2008",3.7,23409.0,3.24,2008,new,Great
1422,Worms Armageddon,"Jan 29, 1999",3.8,32400.0,4.41,1999,retro,Great
1423,Street Fighter II Turbo,"Jul 11, 1993",3.7,30276.0,2.56,1993,retro,Great
1424,Tekken 4,"Jul 01, 2001",3.4,59049.0,3.61,2001,new,Great
1425,Legacy of Kain: Soul Reaver,"Aug 16, 1999",3.7,67600.0,1.69,1999,retro,Great
1426,Mega Man X7,"Jul 17, 2003",1.4,53361.0,1.69,2003,new,Okay
1427,Final Fantasy I & II: Dawn of Souls,"Jul 29, 2004",3.4,8649.0,1.21,2004,new,Great
1428,Mega Man ZX,"Jul 06, 2006",3.7,57121.0,1.69,2006,new,Great
1429,Metal Gear 2: Solid Snake,"Jul 20, 1990",3.5,93636.0,1.44,1990,retro,Great
1430,The Missing: J.J. Macfield and the Island of Memories,"Oct 11, 2018",3.8,58081.0,606841.0,2018,new,Great
1431,Silent Hill 2: Restless Dreams,"Dec 19, 2001",4.5,8100.0,264196.0,2001,new,Amazing
1432,Friday the 13th: The Game,"May 25, 2017",2.6,28900.0,4.84,2017,new,Good
1433,Quake II,"Dec 09, 1997",3.4,58564.0,2.25,1997,retro,Great
1434,NBA Jam,"Jun 02, 1993",3.6,11236.0,717409.0,1993,retro,Great
1435,Final Fantasy X HD Remaster,"Dec 26, 2013",4.3,19321.0,751689.0,2013,new,Amazing
1436,Mario vs. Donkey Kong,"May 24, 2004",3.3,29241.0,2.25,2004,new,Great
1437,Kenshi,"Dec 06, 2018",4.0,8100.0,277729.0,2018,new,Great
1438,Remember Me,"Jun 03, 2013",2.9,32041.0,2.56,2013,new,Good
1439,Alpha Protocol,"May 28, 2010",3.3,28900.0,974169.0,2010,new,Great
1440,Indivisible,"Oct 08, 2019",3.1,44521.0,938961.0,2019,new,Great
1441,Jazzpunk,"Feb 07, 2014",3.6,14884.0,874225.0,2014,new,Great
1442,Need for Speed: Hot Pursuit,"Nov 16, 2010",3.3,21904.0,4.0,2010,new,Great
1443,The House in Fata Morgana: A Requiem for Innocence,"Aug 16, 2015",4.3,15129.0,390625.0,2015,new,Amazing
1444,Phantom Brigade,"Feb 28, 2023",2.8,256.0,256.0,2023,new,Good
1445,Altered Beast,"Aug 01, 1988",2.5,44521.0,2.25,1988,retro,Good
1446,Broken Age,"Jan 28, 2014",3.1,32400.0,1.69,2014,new,Great
1447,Telling Lies,"Aug 23, 2019",2.8,34596.0,417316.0,2019,new,Good
1448,Saints Row: Gat Out of Hell,"Jan 20, 2015",2.4,25281.0,4.0,2015,new,Good
1449,Ratchet & Clank: Size Matters,"Feb 13, 2007",2.8,29584.0,2.25,2007,new,Good
1450,Mario Hoops 3-on-3,"Jul 27, 2006",3.5,17424.0,3.24,2006,new,Great
1451,Mario Power Tennis,"Oct 28, 2004",3.5,22500.0,3.61,2004,new,Great
1452,Keep Talking and Nobody Explodes,"Jul 16, 2015",3.7,20736.0,4.0,2015,new,Great
1453,The Swapper,"May 30, 2013",3.4,16900.0,1.21,2013,new,Great
1454,Ms. Pac-Man,"Feb 03, 1982",3.6,39204.0,2.56,1982,retro,Great
1455,Gun,"Nov 05, 2005",3.3,17161.0,1.96,2005,new,Great
1456,Naruto: Ultimate Ninja 3,"Dec 22, 2005",3.5,14400.0,3.61,2005,new,Great
1457,The Ultimate Doom,"Apr 30, 1995",4.1,21904.0,1.44,1995,retro,Amazing
1458,Superman: The New Superman Adventures,"May 31, 1999",0.7,4761.0,737881.0,1999,retro,Bad
1459,Ruiner,"Sep 26, 2017",3.2,31329.0,1.21,2017,new,Great
1460,The Lord of the Rings: The Two Towers,"Oct 21, 2002",3.3,10000.0,2.56,2002,new,Great
1461,Dragon Quest II: Luminaries of the Legendary Line,"Dec 31, 2005",3.0,46225.0,793881.0,2005,new,Good
1462,Chivalry: Medieval Warfare,"Oct 16, 2012",2.9,5329.0,2.56,2012,new,Good
1463,FIFA 14,"Sep 24, 2013",3.2,8464.0,4.84,2013,new,Great
1464,Bit.Trip Runner,"May 14, 2010",3.1,3364.0,1.44,2010,new,Great
1465,Pokémon Pinball: Ruby & Sapphire,"Aug 01, 2003",3.5,18225.0,2.56,2003,new,Great
1467,La-Mulana,"Jul 13, 2012",3.9,28900.0,242064.0,2012,new,Great
1468,The Warriors,"Oct 17, 2005",3.9,33124.0,859329.0,2005,new,Great
1469,Mortal Kombat XL,"Mar 01, 2016",3.6,9025.0,1.21,2016,new,Great
1470,Anonymous;Code,"Jul 28, 2022",4.2,1600.0,64.0,2022,new,Amazing
1471,Higurashi no Naku Koro ni: Chapter 2 - Watanagashi,"Dec 29, 2002",3.7,13924.0,1.44,2002,new,Great
1472,Aokana: Four Rhythms Across the Blue,"Jan 08, 2016",3.9,1024.0,26896.0,2016,new,Great
1473,Shantae and the Seven Sirens,"Mar 27, 2020",3.5,13924.0,262144.0,2020,new,Great
1474,Mega Man ZX Advent,"Jul 12, 2007",3.6,29929.0,952576.0,2007,new,Great
1475,Peggle Deluxe,"Mar 06, 2007",3.7,4761.0,881721.0,2007,new,Great
1476,Slither.io,"Mar 25, 2016",2.2,2116.0,4.41,2016,new,Good
1477,Twisted Metal,"Nov 05, 1995",3.1,13689.0,972196.0,1995,retro,Great
1478,Dragon Age: Origins - Awakening,"Mar 16, 2010",3.9,2500.0,1.0,2010,new,Great
1479,Parasite Eve II,"Dec 16, 1999",3.4,52441.0,582169.0,1999,retro,Great
1480,The Jackbox Party Pack,"Nov 18, 2014",2.9,10404.0,1.96,2014,new,Good
1481,Tom Clancy's Splinter Cell: Pandora Tomorrow,"Mar 23, 2004",3.4,18769.0,1.0,2004,new,Great
1482,Payday: The Heist,"Oct 18, 2011",2.9,3025.0,1.69,2011,new,Good
1483,Pokémon Rumble Blast,"Aug 11, 2011",2.9,9216.0,1.44,2011,new,Good
1484,Nicktoons Unite!,"Oct 26, 2005",2.5,2704.0,616225.0,2005,new,Good
1485,Ruined King: A League of Legends Story,"Nov 16, 2021",3.6,4624.0,170569.0,2021,new,Great
1486,Picross S3,"Apr 25, 2019",3.9,676.0,34969.0,2019,new,Great
1487,Lisa the Joyful,"Aug 24, 2015",3.7,15876.0,1.0,2015,new,Great
1488,The King of Fighters '98,"Jul 23, 1998",3.9,53361.0,2.25,1998,retro,Great
1489,Kingdoms of Amalur: Reckoning,"Feb 07, 2012",3.2,9801.0,1.44,2012,new,Great
1490,Grand Theft Auto,"Oct 21, 1997",2.5,32761.0,2.56,1997,retro,Good
1491,Europa Universalis IV,"Aug 13, 2013",3.8,18225.0,1.69,2013,new,Great
1493,Guitar Hero 5,"Sep 01, 2009",3.2,3969.0,1.21,2009,new,Great
1494,Silent Hill: Homecoming,"Sep 30, 2008",2.1,42436.0,1.69,2008,new,Good
1495,Mighty No. 9,"Jun 21, 2016",1.6,18769.0,822649.0,2016,new,Okay
1497,Dragon Ball GT: Final Bout,"Aug 21, 1997",1.8,6889.0,1.44,1997,retro,Okay
1498,Killzone 3,"Feb 22, 2011",3.1,24025.0,1.69,2011,new,Great
1499,WWE SmackDown vs. Raw 2008,"Nov 09, 2007",3.1,3844.0,1.96,2007,new,Great
1500,Children of Morta,"Sep 03, 2019",3.4,23409.0,528529.0,2019,new,Great
1501,The Godfather,"Mar 21, 2006",3.6,14641.0,1.21,2006,new,Great
1502,Billy Hatcher and the Giant Egg,"Sep 23, 2003",3.1,17689.0,635209.0,2003,new,Great
1503,Tekken Tag Tournament 2,"Sep 14, 2011",3.8,44521.0,2.89,2011,new,Great
1504,Bloons TD 5,"Dec 14, 2011",3.6,3844.0,2.56,2011,new,Great
1505,JoJo's Bizarre Adventure,"Oct 31, 1999",3.7,4225.0,401956.0,1999,retro,Great
1506,Another World,"Dec 31, 1991",3.3,53824.0,881721.0,1991,retro,Great
1507,Back to the Future: The Game,"Dec 22, 2010",3.2,8836.0,582169.0,2010,new,Great
1508,Team Sonic Racing,"May 21, 2019",2.9,69696.0,2.25,2019,new,Good
1509,Dragon's Dogma,"May 22, 2012",3.7,44100.0,1.21,2012,new,Great
1510,Baldur's Gate 3,"Oct 06, 2020",4.1,27225.0,72361.0,2020,new,Amazing
1511,The LEGO Movie Videogame,"Feb 04, 2014",2.8,33856.0,2.89,2014,new,Good
